,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
alcohol,0.0,0.06153270929535729,0.0010442343494085613,3.1492092509442655e-05,5.255531335897308e-07,2.3985318938106053e-05,6.505038138398494e-05,0.03052483596828487,0.009952053132546731,1.6171527102746844e-21,0.748454290619885,0.17105490864344625,2.289464611471268e-21
malic_acid,0.06153270929535729,0.0,0.0019498028906985373,3.685832950056031e-05,0.2873217571828186,0.00015155142525417263,9.459977250851253e-06,0.0005851492976517117,0.000989028109428228,8.463481202490599e-05,4.239040827692891e-16,0.0005866748828630198,0.4461063356281634
ash,0.0010442343494085598,0.0019498028906985373,0.0,4.915329061818193e-07,7.138696430235217e-07,0.0785805951727062,0.29579782532106313,0.05250439905762044,0.7466329128632108,0.00012903289129174408,0.5059031116641499,0.9208542574821732,0.0006507232477018183
alcalinity_of_ash,3.1492092509442655e-05,3.685832950056031e-05,4.915329061818193e-07,0.0,0.02365664530578642,2.1957334915508564e-07,5.497702541953044e-10,7.784169595161527e-08,0.0006332767004461634,0.327731084346218,1.3950609830995922e-06,9.034707363351079e-06,1.576261743119589e-10
magnesium,5.255531335897282e-07,0.2873217571828186,7.138696430235217e-07,0.02365664530578642,0.0,0.0009140413443678305,0.0017350072140599152,0.0014613946427979591,0.020446242363321106,9.981733517847214e-07,0.6324195560833445,0.45010668951720945,4.794888736313109e-13
total_phenols,2.3985318938106053e-05,0.00015155142525417263,0.0785805951727062,2.1957334915508564e-07,0.0009140413443678305,0.0,1.272400633604633e-58,3.595491702452316e-10,3.059016892499358e-24,0.8824435092354216,8.414731017650825e-10,3.252585899459183e-26,5.607699141348511e-09
flavanoids,6.505038138398494e-05,9.459977250851199e-06,0.29579782532106336,5.497702541953044e-10,0.0017350072140599187,1.272400633604633e-58,0.0,4.298816298683271e-15,6.0611678971887995e-31,0.569543018055024,1.3574558804264215e-14,2.5125451918553445e-32,2.1156122226216272e-09
nonflavanoid_phenols,0.03052483596828487,0.0005851492976517117,0.05250439905762044,7.784169595161527e-08,0.0014613946427979591,3.595491702452316e-10,4.298816298683271e-15,0.0,1.1530676897508529e-07,0.4290749343151119,0.0003013482184972096,2.174480847348854e-12,0.0002659717570004706
proanthocyanins,0.009952053132546731,0.000989028109428228,0.7466329128632108,0.0006332767004461605,0.020446242363321106,3.059016892499358e-24,6.061167897188541e-31,1.1530676897508529e-07,0.0,0.6817503279748415,2.8141893561059456e-06,1.039742540831547e-15,2.8394603880854105e-05
color_intensity,1.6171527102746844e-21,8.463481202490599e-05,0.00012903289129174408,0.327731084346218,9.981733517847214e-07,0.8824435092354216,0.5695430180550238,0.4290749343151119,0.6817503279748415,0.0,6.117037530987139e-09,1.5700289612622606e-05,1.4201372736403208e-10
hue,0.748454290619885,4.239040827692891e-16,0.5059031116641497,1.3950609830995922e-06,0.6324195560833443,8.414731017650825e-10,1.3574558804264215e-14,0.0003013482184972096,2.814189356105936e-06,6.117037530987095e-09,0.0,6.512640365294837e-12,0.005394207304721182
od280/od315_of_diluted_wines,0.17105490864344622,0.0005866748828630198,0.9208542574821732,9.034707363351028e-06,0.45010668951720945,3.2525858994592526e-26,2.5125451918553445e-32,2.1744808473488776e-12,1.039742540831517e-15,1.5700289612622514e-05,6.512640365294956e-12,0.0,0.0006473365251286355
proline,2.2894646114713333e-21,0.4461063356281634,0.0006507232477018183,1.576261743119589e-10,4.794888736313109e-13,5.607699141348511e-09,2.1156122226216272e-09,0.0002659717570004719,2.8394603880854105e-05,1.420137273640331e-10,0.0053942073047211735,0.0006473365251286337,0.0
